Restaurant Names,Rating,Rating Count,Latitude,Longitude
Vienna ribs,4.5,86,40.183865,44.504875
Martiros,4.5,35,40.186962,44.508862
dors city point,5.0,4,40.189785,44.515038
Shawarma Land,0.0,0,40.183098,44.510418
Zhinglyanov Hats,4.5,223,40.187004,44.519478
Noyan Tun,4.5,91,40.180752,44.508488
Picasso Yerevan,5.0,71,40.181889,44.511452
Oliva Restaurant,4.5,34,40.182140,44.511452
jrvej Tavern,5.0,3,40.186623,44.603939
Anteb,4.5,342,40.181950,44.511501
Go Green Armenia,5.0,1,40.218018,44.573856
ATTOR Buffet & Restaurant,0.0,0,40.174850,44.514030
37 Beer And Meat,4.5,93,40.185841,44.513500
Mayrig Yerevan,4.5,151,40.180202,44.511086
Ararat Restaurant,4.0,83,40.178093,44.512665
El Torro,5.0,1,40.186760,44.508457
Beer Yard,0.0,0,40.144604,44.533810
Magic Doors,4.5,12,40.184315,44.510052
Derian Restaurant,4.5,84,40.175949,44.517059
Paparazzi Cafe,4.5,33,40.181274,44.515820
Sandwich House,4.5,6,40.188015,44.513905
Studio Cafe,4.5,43,40.189941,44.515640
Art Lunch,4.0,6,40.179615,44.525181
Back To Black,5.0,3,40.178669,44.514973
Fourchette Buffet,5.0,1,40.180386,44.508747
Life Cafe,5.0,2,40.179813,44.523258
Pomidoro,5.0,9,40.206596,44.512661
Pastrami,5.0,55,40.185936,44.512806
Tomas Smokey Ribs,3.5,49,40.177135,44.517273
Beijing Cascade,3.0,26,40.188763,44.515713
Bora Bora Show Club,5.0,1,40.185219,44.516087
Burger Pub,4.0,1,40.186241,44.518887
Flavours of India,4.5,4,40.199142,44.518665
Vanatour Restaurant,5.0,2,40.188301,44.594395
Koriz Restaurant,5.0,19,40.220425,44.573383
Casa Nostra,5.0,32,40.183243,44.507114
Cafe Champagne,5.0,5,40.184082,44.511154
EL Garden,4.5,627,40.186691,44.481380
KONG Cafe & Cocktail Room,5.0,30,40.180943,44.515442
StarBus Coffee,5.0,6,40.185036,44.510208
Navavar & Jean-Paul Existential Cafe,4.5,53,40.180618,44.512451
Feyrouz,0.0,0,40.179382,44.513668
Cheesy Cafe,4.5,95,40.183025,44.514774
CRUMBS Bread Factory,4.5,532,40.186291,44.513645
Hookahtown Lounge/Cafe,5.0,2,40.181900,44.517139
Dragon Garden,4.5,95,40.183823,44.508015
Vahakni Restaurant,4.5,11,40.220451,44.457272
"""TAO"" Chinese and Japanese Cuisine Restaurant",4.0,29,40.179840,44.521076
Bisquit Dessert Bar,0.0,0,40.212780,44.522339
Antarayin Dzayner,0.0,0,40.203606,44.501217
Granada,5.0,2,40.180115,44.515682
Art Lunch,0.0,0,40.205917,44.521400
No Sugar,0.0,0,40.180824,44.519871
Atmosphere Cafe,3.5,7,40.183582,44.513008
King Garden,5.0,4,40.177433,44.526405
GotCha Boba Bar,4.5,4,40.192417,44.515514
Charles Cafe & Restaurant,4.5,189,40.189899,44.515446
Natura Gold,4.0,38,40.182964,44.517624
Abovyan 23 Parisienne,4.0,1,40.185539,44.520557
4TEEN Cafe and Restaurant,5.0,1,40.180164,44.527351
Grill House,3.5,11,40.180183,44.510773
Fish House,4.5,51,40.183865,44.515068
Hacatun 73,5.0,1,40.159393,44.429054
Tospia Restaurant,4.5,362,40.182919,44.517082
Big Book,5.0,2,40.189335,44.521633
Munchies,0.0,0,40.181328,44.516048
The Green Bean,4.5,537,40.180164,44.509079
Kuj Restaurant,4.5,15,40.203869,44.501766
Mer Taghe,4.5,193,40.183300,44.516216
Roof Cafe & Restaurant,4.0,2,40.142365,44.522453
Marshal Music Pub,1.0,1,40.189163,44.512962
Arevik Lounge,5.0,3,40.199467,44.514179
Sasnatun,4.0,18,40.173168,44.511223
CEO3,4.5,70,40.189285,44.514297
Elen Restaurant,4.5,29,40.180828,44.506939
Sinatra Restaurant,5.0,7,40.189251,44.512379
Muraba,5.0,12,40.188236,44.512192
Classic Burger Yerevan,5.0,15,40.182552,44.514008
Dolmama Restaurant,4.5,914,40.180492,44.515926
Restaurant Araks Old House,4.5,27,40.183174,44.516041
Surf Yerevan,5.0,4,40.189167,44.516994
Wild West Pub,5.0,30,40.185505,44.516926
Voske Pataraqagh,0.0,0,40.178185,44.501080
Havana Restaurant & Club,5.0,289,40.190350,44.480988
Tumanyan Shaurma,0.0,0,40.197025,44.567696
KARS,5.0,10,40.188610,44.522499
Ktoor,4.5,5,40.183899,44.504852
Ost Food Court,5.0,4,40.186077,44.507530
Lunch House,5.0,19,40.187637,44.521252
Grammy Hall,5.0,1,40.181866,44.516586
EVN Diner,5.0,15,40.186852,44.512142
Beer Academy,4.5,154,40.188721,44.518280
Taj Indian Restaurant,0.0,0,40.208008,44.508728
Arshavner Club,5.0,5,40.181511,44.512745
The VIEW Lounge,4.0,4,40.182777,44.515171
India Palace,4.5,56,40.178814,44.510506
Podwall,5.0,7,40.184113,44.511196
Depot by Voodoo,5.0,8,40.188179,44.511314
Tamzara,4.5,7,40.176216,44.514553
Yerankyuni Home-Restaurant,5.0,1,40.190758,44.474316
Bakeriez,0.0,0,40.188011,44.511524
Old Erivan,0.0,0,40.184181,44.514565
44 Venue,5.0,6,40.183311,44.511997
Mint,5.0,1,40.182644,44.520412
Vostan Restaurant,4.5,212,40.180065,44.514950
Astral Cafe,4.5,8,40.185150,44.516106
Halebi Napoli Pour,5.0,1,40.169689,44.517570
Liban,4.5,136,40.177540,44.507416
Adzoukh,5.0,282,40.180660,44.510017
12 Ktor Pizza,3.5,11,40.179985,44.507133
Qaghaqic Durs Restaurant,5.0,3,40.179817,44.502636
Givi 2 Me Georgian Cuisine,4.5,56,40.186272,44.516655
Sophiste,5.0,29,40.188847,44.514984
Bourj Hammoud,5.0,8,40.188969,44.513138
Sushi Toria Yerevan,4.0,60,40.186153,44.516567
Centro Cafe,0.0,0,40.182850,44.509045
Cafe Central,4.5,201,40.184921,44.520710
Jan Burger,5.0,1,40.183784,44.508141
Merlot Wine Restaurant,0.0,0,40.183029,44.514500
NewTone Park,5.0,1,40.205395,44.479969
Bel Etage,4.5,91,40.187298,44.514011
Valensia Restaurant,5.0,1,40.206207,44.561100
Karas,4.0,136,40.179039,44.513451
Barocco Hall,5.0,4,40.184204,44.496460
dors craft beer & kitchen,5.0,135,40.180470,44.510857
Kyoto Lounge Yerevan,4.0,31,40.186138,44.512501
Karas Tumanyan,0.0,0,40.182720,44.516678
Jockey Restaurant & Cafe,2.0,1,40.148865,44.451328
Kilikia Beerhouse,4.5,60,40.180660,44.515301
Tavern Yerevan,4.5,2508,40.179108,44.510284
Cafe de Flore,0.0,0,40.179985,44.524227
Epicure,4.5,54,40.182701,44.512901
Mamoor Restaurant,4.5,110,40.181080,44.515987
Artbridge,4.5,11,40.182728,44.518082
Bianco,0.0,0,40.184330,44.520081
Aries Lunch AUA Business Center,4.0,7,40.176933,44.524448
WineRest,0.0,0,40.187542,44.509956
Dvin restaurant,4.0,2,40.182949,44.516663
Dom By Eg,3.0,12,40.186722,44.508533
At Gayane's,4.5,140,40.186707,44.509903
Pitsa Pazta,5.0,1,40.181187,44.518265
Harich Restaurant,0.0,0,40.203728,44.528912
Art Lunch,0.0,0,40.189022,44.523376
Kamancha Restaurant,4.5,54,40.184242,44.514088
Gouroo Club & Garden,4.5,167,40.186333,44.508404
Lebanon,4.5,46,40.189445,44.514980
Karas national food chain,5.0,10,40.154823,44.510113
Fabrica,5.0,82,40.186405,44.508659
8th Wonder Restaurant,3.5,5,40.180462,44.496807
Tumanyan Shaurma,0.0,0,40.206612,44.512936
Casa de Espana,4.5,36,40.188511,44.518089
Pepper Burger Bar,4.5,9,40.185093,44.510548
Tashir Pizza,2.0,1,40.174335,44.510445
Tavern Yerevan Riverside,5.0,233,40.172729,44.498272
Club Burger,0.0,0,40.188435,44.521515
