Name,latitude,longitude
Tsirani Home Restaurant,40.182034,44.515396
Espress It,40.183601,44.514446
Malocco Cafe,40.189018,44.514973
Giardino,40.192238,44.504166
Bake Point,40.189171,44.515869
Beer Academy Ethnograph,40.180801,44.515614
Family Cafe,40.183762,44.50806
Mon Cafe,40.179512,44.510651
Subtitle,40.189522,44.520065
Sedvi Tavern,40.184029,44.513645
Barcode,40.182842,44.510372
Karas National Food Chain,40.174709,44.521091
Aperitivo,40.18877,44.515228
Smak Salad,40.189274,44.517197
Basturma Cafe-Store,40.180969,44.515499
Lagonid Bistro-Cafe,40.183136,44.522511
Arabica,40.181709,44.513027
Monarch,40.189171,44.521637
Italiano Ristorante,40.180695,44.515244
Mr. Freeman - Bar & Eatery,40.18441,44.510044
Gastropolis,40.175934,44.509903
Mussa Restaurant & Cafe,40.187206,44.509918
Genacvale Pandok,40.177692,44.503006
Zangezur Family Restaurant,40.206699,44.527096
Cascade Royal,40.193089,44.514458
Charlisa Cafe Bakery,40.182346,44.515877
InFusion Bar & Restaurant,40.22047,44.494335
Rostinni,40.182949,44.516663
Genacvale Pandok,40.206367,44.506462
Dukhov Hakhtanak Tchasharan,40.171627,44.519241
Mansarda,40.188217,44.519718
Karloff Czech Brewery-Restaurant,40.187729,44.514
Merhatsy Bakery,40.200043,44.497723
Roof18n,40.188797,44.513676
Oriento Restaurant,40.182686,44.520504
Ankyun,40.178852,44.517624
Mad Bar,40.186123,44.517208
Hin Areni Hall & Wine Bar,40.18338,44.519608
Ararat Pandok,40.184727,44.51783
Chinar restaurant,40.188076,44.511681
Fratelli Cafe,40.205193,44.51733
Zeituna,40.189487,44.514332
HyeLandz,40.153336,44.650574
Mimino Restaurant,40.178341,44.524754
Megerian Carpet Restaurant,40.155251,44.494148
Thai Take Away,40.175652,44.519497
Bar B.Q.,40.18269,44.512817
Beermood,40.184135,44.519394
Purple Rain Bar & Cafe,40.181633,44.512608
1st Floor,40.181,44.515736
Masoor Restaurant,40.177097,44.515713
Mer Toune Restaurant,40.174229,44.456203
Grigoryan's,40.153191,44.49947
Yerevan Sky,40.199375,44.476452
Face Food,40.169563,44.51313
Life Food,40.183456,44.504292
Kamurj,40.162407,44.512642
Thaiwine Republic,40.18111,44.514759
Impresso Coffee Shop,40.178768,44.517746
Soho Place,40.175453,44.521767
Sabroso,40.186157,44.516533
HighRest Restaurant,40.183319,44.516144
Square One,40.179962,44.514347
CoffeeTalk,40.188137,44.513374
Shaurma Club Bistro,40.179134,44.510307
Karas National Food Chain,40.201099,44.501534
Fry Day,40.206211,44.518883
Ojax,40.188194,44.519882
Panda Hookah,40.18726,44.509296
Big Book,40.182228,44.524811
POS,40.188946,44.513073
Tumanyan Shaurma,40.20657,44.513107
Vino del Nord,40.183643,44.51524
Big And Tasty,40.175339,44.519855
Maza by Mandaloun,40.182903,44.5126
El Taco,40.182949,44.516663
Voski Restaurant,40.184006,44.519596
Baffles,40.171524,44.512978
Leo Cafe Restaurant,40.188858,44.51881
Wasabi,40.18,44.514168
Zatar Pizza,40.175491,44.513332
Retro Bar,40.189819,44.515671
Lebanon Shawarma,40.182846,44.516685
Terrazza,40.188595,44.520222
Vienna Cafe and Kitchen,40.181484,44.515255
Artbridge Bookstore Cafe,40.182686,44.518314
Loft Room,40.180901,44.514732
Old Town,40.181393,44.51088
Qaghaq Pandok,40.175735,44.514244
Burger Bar,40.181274,44.518681
PaddonOK,40.185101,44.517521
View Cafe & Restaurant,40.18652,44.513744
Patio Restaurant,40.181435,44.515224
Gata Tavern,40.181419,44.51889
Lennon Gastro Pub,40.18111,44.507298
Kololak Restaurant,40.175186,44.521172
Bogossians’ Sweets Boutique,40.190464,44.479694
Sakurada,40.181381,44.51931
26 Irish Pub,40.185741,44.511589
Accent by Gayane Breiova,40.175404,44.508812
Cup O' Joy,40.206753,44.51852
Flagman,40.178719,44.524509
Elie's Lahmajun,40.174145,44.510857
Saint Tropez,40.185829,44.516048
Hookah Snake,40.182449,44.506699
Diamond Pizza,40.178715,44.513191
